,Case,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA
12,IA CF and storage BAT,488.74566393003306,447.5051602207675,424.6101036120797,358.8048990697936,-13.122481701880586,-19.82105884705675,373.52233827941836,332.3479899706173,-23.57531414685034,-25.733149131361927,647.3520309081513,565.9409183813384,32.451718487434746,26.46578602627578,373.28009658924606,297.1937815445463,-23.624878103740397,-33.58874758049005
13,TX green steel sites BAT,552.0395006526163,533.7287839740555,455.36670993881785,426.0305848677314,-17.51193358437444,-20.17845061763791,417.26962865076814,398.3716908528778,-24.413084904707798,-25.360650799706058,580.7372080056937,543.3716244800278,5.198488028329709,1.806692986309123,347.5306105875136,313.47570184078603,-37.04606098355898,-41.26685476719127
14,TX PV CF BAT,475.94828421336786,433.82678442153076,417.6996131164204,350.4993786791667,-12.23844544228561,-19.207529072570686,364.27654462792265,322.27040655223925,-23.46299866801972,-25.714497554142945,641.9163515427351,558.8606025766019,34.87102965476049,28.821138446256274,368.6986424178486,291.0096037421691,-22.533885582291376,-32.92032345808146
15,TX Complimentarity BAT,580.5872939139507,531.5817967925957,489.7373242102588,411.53951861174966,-15.647943152740929,-22.582089700050858,443.44717649008624,394.5090200436924,-23.620929851797637,-25.78582968340134,756.1176103661305,659.3556668352163,30.2332342254454,24.036539778745176,444.6299364263904,354.21241878235935,-23.41721200459318,-33.36633780171362
16,IA Complimentarity INF,821.6674677569943,577.0350026204309,843.5803951093434,455.9768621906261,2.6668851101246003,-20.97934092040442,679.6832979549447,440.87948081274897,-17.280003818289295,-23.595712771213627,1924.1171684806438,1451.9475286613504,134.17224655773956,151.62208913978657,1101.5902512714904,654.3582556460386,34.0676483491108,13.40009751132383
17,TX Min storage INF,669.6201049747473,478.8439103015414,690.0725068541809,387.6758558689322,3.0543291229591945,-19.039200973694776,550.8758682581873,364.5222923291712,-17.73307519209538,-23.874505974270136,1534.0147395683525,1165.5511798717805,129.08731804374412,143.40941897701074,873.642063706887,524.713582919275,30.46831437951431,9.579253621257958
18,IA PV CF INF,659.8280625071358,471.96483634861573,679.7555194766084,381.97550354319384,3.0200984319694766,-19.066957085538355,542.6014363242411,359.09262826782526,-17.76623833449443,-23.915385085472273,1511.5654321398397,1148.7266270595476,129.08474465247417,143.3924179493413,860.3837142952119,516.7821969264686,30.395138246474207,9.495910950609174
19,IA green steel sites INF,901.4764086823809,628.1529276645856,935.3216086523123,502.34792536641885,3.7544188227177617,-20.027766608666155,749.9788277625648,483.25214231905926,-16.805495902133313,-23.067756109050393,2134.2202127428336,1606.8407014409086,136.74720627046247,155.8040615069635,1223.2250251572946,723.6506403506047,35.691296341874214,15.202939997600703
20,TX Max CF INF,595.9187602750984,396.3779722855066,640.2721402542593,324.6326813169781,7.442856801266955,-18.100221501928253,495.02078695334336,300.70456409893245,-16.93149805775149,-24.136913470474504,1519.2493651258092,1135.0418315738443,154.94236234893273,186.35340784181784,853.7855445890128,489.6260147759975,43.27213732873143,23.525031412019377
21,IA Max CF INF,609.508837388359,444.82839838590655,622.2060556446676,361.0343981155248,2.0831885409100868,-18.83737651967244,498.38833614923436,337.382741606706,-18.231155058433103,-24.154405871809267,1354.843610223792,1036.498789921502,122.28448992291317,133.01093043576267,770.817910047074,469.44372160629445,26.465419820637337,5.533667209581594
22,IA Min LCOH INF,1037.33306031898,722.1722750734697,1074.140436719452,574.8832023955757,3.5482698670717987,-20.39528209012311,865.6089217365596,558.0463776345887,-16.55438789636331,-22.726695984304268,2453.383112731518,1845.2618127177664,136.50871707271168,155.5154602868187,1411.2663611336336,835.2118617233128,36.04756419309235,15.652717578827454
23,TX Min LCOH INF,514.0298412084653,390.36029636132577,514.9445951602075,318.60745918932514,0.17795736325184436,-18.38118216448547,415.01543423494275,293.8749359151898,-19.262384989311773,-24.717001535634424,1072.1999611264087,832.6775299483579,108.58710432174634,113.30999533252069,608.5718168732151,381.98632070630356,18.392312680229818,-2.1451914380326933
24,TX Wind CF INF,514.0298412084653,390.36029636132577,514.9445951602075,318.60745918932514,0.17795736325184436,-18.38118216448547,415.01543423494275,293.8749359151898,-19.262384989311773,-24.717001535634424,1072.1999611264087,832.6775299483579,108.58710432174634,113.30999533252069,608.5718168732151,381.98632070630356,18.392312680229818,-2.1451914380326933
25,IA Min storage INF,831.9302081456806,571.6753971382702,870.9749522173164,458.87189278537056,4.693271585685543,-19.732090084264385,692.5555576443431,438.73928674518703,-16.753166207534964,-23.253774967148036,2012.8225365948654,1510.9698532471334,141.94608116001925,164.30555885575,1148.7327830661882,673.2527064026,38.08042691785894,17.768354169658522
26,TX CF and storage INF,604.8956001941305,456.57400776426306,600.2842429156166,364.83438796661477,-0.7623393651787095,-20.09304477205698,490.0804260249946,344.82165743687756,-18.980990129914645,-24.476283894173218,1267.0367996330506,979.8270459546675,109.46371559429721,114.60421077245573,724.9359207695394,453.21545934617205,19.844799753359776,-0.7355978134929398
27,IA Wind CF INF,609.508837388359,444.82839838590655,622.2060556446676,361.0343981155248,2.0831885409100868,-18.83737651967244,498.38833614923436,337.382741606706,-18.231155058433103,-24.154405871809267,1354.843610223792,1036.498789921502,122.28448992291317,133.01093043576267,770.817910047074,469.44372160629445,26.465419820637337,5.533667209581594
28,IA CF and storage INF,609.508837388359,444.82839838590655,622.2060556446676,361.0343981155248,2.0831885409100868,-18.83737651967244,498.38833614923436,337.382741606706,-18.231155058433103,-24.154405871809267,1354.843610223792,1036.498789921502,122.28448992291317,133.01093043576267,770.817910047074,469.44372160629445,26.465419820637337,5.533667209581594
29,TX green steel sites INF,729.1535509518309,531.4311812778578,743.3657400503652,429.78720322982275,1.949135278842407,-19.12646107885994,599.3908984109033,406.0756677785849,-17.796341027419597,-23.58828723558301,1616.8274556536285,1234.5991183517317,121.74032527758187,132.31589749458524,926.3143386449725,564.465669870178,27.039680110694054,6.216136680743263
30,TX PV CF INF,686.4662994559765,433.89271381683596,754.2753188912208,355.29170523974034,9.877982282448947,-18.11530963165156,577.0096816867681,331.4967867821326,-15.944936824422784,-23.59936541315809,1857.629950737734,1372.1949210022324,170.60759606260393,216.2521234642102,1044.026576517668,583.739270283731,52.08708385904123,34.535393588137424
31,TX Complimentarity INF,707.4619109033741,527.7613822802546,698.7939760232621,413.6073995021384,-1.2252157673115962,-21.629847618804657,575.5796256093734,399.6771634614427,-18.64160928827918,-24.269342759678448,1504.880509973346,1157.0811862891408,112.71541079175982,119.24324612191907,865.6720379513475,536.5632352432399,22.363059354807007,1.6677713183476766
