,Case,Wind capex,Wind opex,PV capex,PV opex,EL capex,EL opex,Pipe capex,Pipe opex,ASU capex,ASU opex,HB capex,HB opex,Cavern capex,Cavern opex,Battery capex,Battery opex,Pipe LCOA,Cavern LCOA
2,IA PV CF BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,200944303.89272225,6579669.19735981,27876764.890552767,41815147.33582915,99767402.36059973,149651103.5408996,14958378.034916628,818193.7946979308,104324000.0,30777731.443830386,501.4941227825342,473.80440867357476
18,IA PV CF INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,1311397505.3378134,40993724.422126025,23965234.955570217,35947852.433355324,85504302.70559435,128256454.05839154,49521101.690390274,1879342.031733528,104324000.0,28019690.789323177,659.8280625071358,471.96483634861573
11,IA Wind CF BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,313150665.31589323,10060753.084640777,28561163.50753007,42841745.26129511,102267386.55972658,153401079.8395899,18741291.673879128,938234.0188719056,104324000.0,31545136.1371876,488.74566393003306,447.5051602207675
27,IA Wind CF INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,1222478890.7472174,38237247.36981756,24691642.359453738,37037463.53918061,88149715.56035602,132224573.34053405,46815374.037923925,1795464.474507071,104324000.0,28019690.789323173,609.508837388359,444.82839838590655
3,IA green steel sites BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,494064107.1869081,15663602.766221149,24683482.834970444,37025224.25245567,88119991.49230212,132179987.23845318,24532356.64697183,1112121.56153813,104324000.0,29995175.21088973,725.7892508582515,631.7743482216734
19,IA green steel sites INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,1417748951.288817,44290619.24660713,20725593.03952362,31088389.559285432,73726905.42210105,110590358.1331516,52763506.33079963,1979856.575586218,104324000.0,28019690.789323177,901.4764086823809,628.1529276645856
10,TX CF and storage BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,316683684.1358773,7755083.770092545,168503643.2516728,5575614.378892794,28160877.95740719,42241316.9361108,100805065.61647306,151207598.42470962,13816638.291984249,784455.1578599662,104324000.0,31235035.6068398,481.63372281715624,459.28365051393206
26,TX CF and storage INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,316683684.1358773,7755083.770092545,1068708533.1924226,33468330.40205973,24319525.13707908,36479287.70561863,86794346.68119466,130191520.021792,42143059.88818444,1648526.7331601768,104324000.0,27476463.35643788,604.8956001941305,456.57400776426306
15,TX Complimentarity BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,311510149.282608,7628392.064190254,309864534.0742571,9957871.35003121,26449352.942161232,39674029.41324185,94557390.95708723,141836086.4356309,18633266.346234832,933842.133813059,104324000.0,31254877.290448066,580.5872939139507,531.5817967925957
31,TX Complimentarity INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,311510149.282608,7628392.064190254,1111251016.1605196,34785447.069497906,22568350.67522309,33852526.01283463,80421805.10551436,120632707.65827157,43435229.03524194,1686833.8378623184,104324000.0,27027591.349637188,707.4619109033741,527.7613822802546
4,TX Max CF BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,174634379.98780495,5768652.979068093,29993068.494411808,44989602.74161772,107501799.2393602,161252698.85904032,14034569.556161275,794289.87637329,104324000.0,32095872.5275949,416.1487504152884,396.30099174840467
20,TX Max CF INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,1675124900.2638638,52269273.66483359,26253433.29578743,39380149.94368115,93842731.02454267,140764096.53681403,60648420.54097193,2224288.916101559,104324000.0,28019690.789323177,595.9187602750984,396.3779722855066
1,TX Min storage BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,163092336.63249102,5414233.572969089,27708626.89407989,41562940.34111984,99153415.18206364,148730122.77309546,13623374.070320657,785033.4975773721,104324000.0,33087989.757350743,503.41200136875705,480.82253285486644
7,TX Min LCOH BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,321961161.44643795,7884320.862776486,183421512.3978989,6043738.111433336,30092832.898076937,45139249.34711541,107866686.82952608,161800030.2442891,14345106.230486171,806685.0983746032,104324000.0,32881349.730642676,413.4674810956587,392.76639102878966
